transcript_id	gene_id
FBtr0070806	Dmel_CG15773
FBtr0070807	Dmel_CG4078
FBtr0070808	Dmel_CG15772
FBtr0070809	Dmel_CG15771
FBtr0070813	Dmel_CG15767
FBtr0070814	Dmel_CG12239
FBtr0070815	Dmel_CG4052
FBtr0070816	Dmel_CG18341
FBtr0070817	Dmel_CG15765
FBtr0070818	Dmel_CR32761
FBtr0070819	Dmel_CG12729
FBtr0070820	Dmel_CG15764
FBtr0070821	Dmel_CG16721
FBtr0070822	Dmel_CG4027
FBtr0070823	Dmel_CG4027
FBtr0070824	Dmel_CG4020
FBtr0070825	Dmel_CG12236
FBtr0070826	Dmel_CG12236
FBtr0070827	Dmel_CG3011
FBtr0070828	Dmel_CG3016
FBtr0070829	Dmel_CG3025
FBtr0070830	Dmel_CG3033
FBtr0070832	Dmel_CG15766
FBtr0070833	Dmel_CG3108
FBtr0070836	Dmel_CG3097
FBtr0070837	Dmel_CG3086
FBtr0070839	Dmel_CG3086
FBtr0070840	Dmel_CG15929
FBtr0070841	Dmel_CG3125
FBtr0070842	Dmel_CG3125
FBtr0070843	Dmel_CG32758
FBtr0070844	Dmel_CG33080
FBtr0070845	Dmel_CG33080
FBtr0070846	Dmel_CG3149
FBtr0070847	Dmel_CG3160
FBtr0070848	Dmel_CG3171
FBtr0070849	Dmel_CG3129
FBtr0070850	Dmel_CG3187
FBtr0070851	Dmel_CG3187
FBtr0070852	Dmel_CG3187
FBtr0070858	Dmel_CG3726
FBtr0070859	Dmel_CG12728
FBtr0070860	Dmel_CG32756
FBtr0070861	Dmel_CG6041
FBtr0070862	Dmel_CG32755
FBtr0070863	Dmel_CG6048
FBtr0070864	Dmel_CG6067
FBtr0070865	Dmel_CG14447
FBtr0070866	Dmel_CG5966
FBtr0070867	Dmel_CG5941
FBtr0070871	Dmel_CG5928
FBtr0070872	Dmel_CG5905
FBtr0070873	Dmel_CG5905
FBtr0070874	Dmel_CG3774
FBtr0070875	Dmel_CG3774
FBtr0070877	Dmel_CG3595
FBtr0070878	Dmel_CG3599
FBtr0070879	Dmel_CG32754
FBtr0070880	Dmel_CG32751
FBtr0070881	Dmel_CG32750
FBtr0070884	Dmel_CG4317
FBtr0070886	Dmel_CG4660
FBtr0070887	Dmel_CG4666
FBtr0070888	Dmel_CG4690
FBtr0070889	Dmel_CG4336
FBtr0070890	Dmel_CG4746
FBtr0070891	Dmel_CG4766
FBtr0070892	Dmel_CG4790
FBtr0070893	Dmel_CG14445
FBtr0070894	Dmel_CG3780
FBtr0070895	Dmel_CG3781
FBtr0070896	Dmel_CG12225
FBtr0070897	Dmel_CG15897
FBtr0070898	Dmel_CG15896
FBtr0070899	Dmel_CG3815
FBtr0070900	Dmel_CG3823
FBtr0070901	Dmel_CG15894
FBtr0070903	Dmel_CG3842
FBtr0070904	Dmel_CG3842
FBtr0070905	Dmel_CG3847
FBtr0070906	Dmel_CG3861
FBtr0070907	Dmel_CG3861
FBtr0070909	Dmel_CG3869
FBtr0070910	Dmel_CG3869
FBtr0070911	Dmel_CR32748
FBtr0070912	Dmel_CG3918
FBtr0070913	Dmel_CG3926
FBtr0070914	Dmel_CG3929
FBtr0070915	Dmel_CG3314
FBtr0070916	Dmel_CG3314
FBtr0070918	Dmel_CG3342
FBtr0070921	Dmel_CG12217
FBtr0070922	Dmel_CG3429
FBtr0070924	Dmel_CG3446
FBtr0070925	Dmel_CG12219
FBtr0070926	Dmel_CG15892
FBtr0070930	Dmel_CG3458
FBtr0070933	Dmel_CG32744
FBtr0070937	Dmel_CG3576
FBtr0070938	Dmel_CG3576
FBtr0070943	Dmel_CG17717
FBtr0070944	Dmel_CG17717
FBtr0070945	Dmel_CG10695
FBtr0070946	Dmel_CG14444
FBtr0070947	Dmel_CG14444
FBtr0070948	Dmel_CG3973
FBtr0070950	Dmel_CG32742
FBtr0070951	Dmel_CG3977
FBtr0070952	Dmel_CG4039
FBtr0070953	Dmel_CG4094
FBtr0070954	Dmel_CG4094
FBtr0070955	Dmel_CG4095
FBtr0070956	Dmel_CG4523
FBtr0070957	Dmel_CG4523
FBtr0070959	Dmel_CG14441
FBtr0070960	Dmel_CG14439
FBtr0070961	Dmel_CG14438
FBtr0070962	Dmel_CG14438
FBtr0070963	Dmel_CG14437
FBtr0070964	Dmel_CG4532
FBtr0070965	Dmel_CG4532
FBtr0070966	Dmel_CG4532
FBtr0070967	Dmel_CG4532
FBtr0070968	Dmel_CG4532
FBtr0070969	Dmel_CG4536
FBtr0070970	Dmel_CG4542
FBtr0070972	Dmel_CG32743
FBtr0070973	Dmel_CG12796
